we have: 40000 dialogs, batch size of 1 with 1 as remainder to offset batches each epoch
Logging enabled in: test_top1_top2-t_size_40000-v_size_5000-emb_2048-eps_100-dt_12-17-16-19-batch_1.txt
334s:	 epoch: 0	 batch:1245 (3.1%) 	 training error: 2.304434	 speed: 3.7 dialogs/s
337s:	 epoch: 0	 batch:1255 (3.1%) 	 training error: 2.304420	 speed: 3.7 dialogs/s
341s:	 epoch: 0	 batch:1265 (3.2%) 	 training error: 2.304405	 speed: 3.7 dialogs/s
344s:	 epoch: 0	 batch:1275 (3.2%) 	 training error: 2.304391	 speed: 3.7 dialogs/s
347s:	 epoch: 0	 batch:1285 (3.2%) 	 training error: 2.304377	 speed: 3.7 dialogs/s
350s:	 epoch: 0	 batch:1295 (3.2%) 	 training error: 2.304363	 speed: 3.7 dialogs/s
353s:	 epoch: 0	 batch:1305 (3.3%) 	 training error: 2.304349	 speed: 3.7 dialogs/s
356s:	 epoch: 0	 batch:1316 (3.3%) 	 training error: 2.304335	 speed: 3.7 dialogs/s
359s:	 epoch: 0	 batch:1326 (3.3%) 	 training error: 2.304321	 speed: 3.7 dialogs/s
363s:	 epoch: 0	 batch:1336 (3.3%) 	 training error: 2.304308	 speed: 3.7 dialogs/s
366s:	 epoch: 0	 batch:1346 (3.4%) 	 training error: 2.304296	 speed: 3.7 dialogs/s
369s:	 epoch: 0	 batch:1356 (3.4%) 	 training error: 2.304283	 speed: 3.7 dialogs/s
372s:	 epoch: 0	 batch:1366 (3.4%) 	 training error: 2.304271	 speed: 3.7 dialogs/s
375s:	 epoch: 0	 batch:1376 (3.4%) 	 training error: 2.304258	 speed: 3.7 dialogs/s
378s:	 epoch: 0	 batch:1386 (3.5%) 	 training error: 2.304246	 speed: 3.7 dialogs/s
381s:	 epoch: 0	 batch:1396 (3.5%) 	 training error: 2.304234	 speed: 3.7 dialogs/s
384s:	 epoch: 0	 batch:1406 (3.5%) 	 training error: 2.304223	 speed: 3.7 dialogs/s
388s:	 epoch: 0	 batch:1416 (3.5%) 	 training error: 2.304211	 speed: 3.7 dialogs/s
391s:	 epoch: 0	 batch:1426 (3.6%) 	 training error: 2.304200	 speed: 3.6 dialogs/s
394s:	 epoch: 0	 batch:1436 (3.6%) 	 training error: 2.304188	 speed: 3.6 dialogs/s
397s:	 epoch: 0	 batch:1446 (3.6%) 	 training error: 2.304177	 speed: 3.6 dialogs/s
400s:	 epoch: 0	 batch:1456 (3.6%) 	 training error: 2.304166	 speed: 3.6 dialogs/s
403s:	 epoch: 0	 batch:1466 (3.7%) 	 training error: 2.304156	 speed: 3.6 dialogs/s
407s:	 epoch: 0	 batch:1476 (3.7%) 	 training error: 2.304145	 speed: 3.6 dialogs/s
410s:	 epoch: 0	 batch:1485 (3.7%) 	 training error: 2.304135	 speed: 3.6 dialogs/s
413s:	 epoch: 0	 batch:1495 (3.7%) 	 training error: 2.304125	 speed: 3.6 dialogs/s
416s:	 epoch: 0	 batch:1505 (3.8%) 	 training error: 2.304115	 speed: 3.6 dialogs/s
420s:	 epoch: 0	 batch:1515 (3.8%) 	 training error: 2.304105	 speed: 3.6 dialogs/s
423s:	 epoch: 0	 batch:1525 (3.8%) 	 training error: 2.304095	 speed: 3.6 dialogs/s
426s:	 epoch: 0	 batch:1535 (3.8%) 	 training error: 2.304085	 speed: 3.6 dialogs/s
429s:	 epoch: 0	 batch:1545 (3.9%) 	 training error: 2.304075	 speed: 3.6 dialogs/s
432s:	 epoch: 0	 batch:1555 (3.9%) 	 training error: 2.304066	 speed: 3.6 dialogs/s
435s:	 epoch: 0	 batch:1565 (3.9%) 	 training error: 2.304056	 speed: 3.6 dialogs/s
438s:	 epoch: 0	 batch:1575 (3.9%) 	 training error: 2.304047	 speed: 3.6 dialogs/s
441s:	 epoch: 0	 batch:1585 (4.0%) 	 training error: 2.304038	 speed: 3.6 dialogs/s
444s:	 epoch: 0	 batch:1594 (4.0%) 	 training error: 2.304029	 speed: 3.6 dialogs/s
448s:	 epoch: 0	 batch:1604 (4.0%) 	 training error: 2.304020	 speed: 3.6 dialogs/s
451s:	 epoch: 0	 batch:1614 (4.0%) 	 training error: 2.304012	 speed: 3.6 dialogs/s
454s:	 epoch: 0	 batch:1624 (4.1%) 	 training error: 2.304003	 speed: 3.6 dialogs/s
457s:	 epoch: 0	 batch:1634 (4.1%) 	 training error: 2.303994	 speed: 3.6 dialogs/s
460s:	 epoch: 0	 batch:1644 (4.1%) 	 training error: 2.303986	 speed: 3.6 dialogs/s
463s:	 epoch: 0	 batch:1654 (4.1%) 	 training error: 2.303977	 speed: 3.6 dialogs/s
466s:	 epoch: 0	 batch:1664 (4.2%) 	 training error: 2.303969	 speed: 3.6 dialogs/s
469s:	 epoch: 0	 batch:1674 (4.2%) 	 training error: 2.303960	 speed: 3.6 dialogs/s
473s:	 epoch: 0	 batch:1684 (4.2%) 	 training error: 2.303952	 speed: 3.6 dialogs/s
476s:	 epoch: 0	 batch:1694 (4.2%) 	 training error: 2.303944	 speed: 3.6 dialogs/s
479s:	 epoch: 0	 batch:1704 (4.3%) 	 training error: 2.303936	 speed: 3.6 dialogs/s
482s:	 epoch: 0	 batch:1714 (4.3%) 	 training error: 2.303928	 speed: 3.6 dialogs/s
485s:	 epoch: 0	 batch:1723 (4.3%) 	 training error: 2.303921	 speed: 3.6 dialogs/s
488s:	 epoch: 0	 batch:1733 (4.3%) 	 training error: 2.303914	 speed: 3.6 dialogs/s
491s:	 epoch: 0	 batch:1743 (4.4%) 	 training error: 2.303906	 speed: 3.5 dialogs/s
494s:	 epoch: 0	 batch:1753 (4.4%) 	 training error: 2.303898	 speed: 3.5 dialogs/s
497s:	 epoch: 0	 batch:1763 (4.4%) 	 training error: 2.303891	 speed: 3.5 dialogs/s
501s:	 epoch: 0	 batch:1774 (4.4%) 	 training error: 2.303883	 speed: 3.5 dialogs/s
504s:	 epoch: 0	 batch:1784 (4.5%) 	 training error: 2.303876	 speed: 3.5 dialogs/s
507s:	 epoch: 0	 batch:1794 (4.5%) 	 training error: 2.303868	 speed: 3.5 dialogs/s
510s:	 epoch: 0	 batch:1804 (4.5%) 	 training error: 2.303861	 speed: 3.5 dialogs/s
513s:	 epoch: 0	 batch:1814 (4.5%) 	 training error: 2.303854	 speed: 3.5 dialogs/s
516s:	 epoch: 0	 batch:1824 (4.6%) 	 training error: 2.303847	 speed: 3.5 dialogs/s
520s:	 epoch: 0	 batch:1834 (4.6%) 	 training error: 2.303840	 speed: 3.5 dialogs/s
523s:	 epoch: 0	 batch:1844 (4.6%) 	 training error: 2.303834	 speed: 3.5 dialogs/s
526s:	 epoch: 0	 batch:1854 (4.6%) 	 training error: 2.303827	 speed: 3.5 dialogs/s
529s:	 epoch: 0	 batch:1863 (4.7%) 	 training error: 2.303821	 speed: 3.5 dialogs/s
532s:	 epoch: 0	 batch:1872 (4.7%) 	 training error: 2.303815	 speed: 3.5 dialogs/s
535s:	 epoch: 0	 batch:1882 (4.7%) 	 training error: 2.303808	 speed: 3.5 dialogs/s
538s:	 epoch: 0	 batch:1892 (4.7%) 	 training error: 2.303802	 speed: 3.5 dialogs/s
541s:	 epoch: 0	 batch:1902 (4.8%) 	 training error: 2.303796	 speed: 3.5 dialogs/s
545s:	 epoch: 0	 batch:1912 (4.8%) 	 training error: 2.303789	 speed: 3.5 dialogs/s
548s:	 epoch: 0	 batch:1922 (4.8%) 	 training error: 2.303783	 speed: 3.5 dialogs/s
551s:	 epoch: 0	 batch:1932 (4.8%) 	 training error: 2.303777	 speed: 3.5 dialogs/s
554s:	 epoch: 0	 batch:1942 (4.9%) 	 training error: 2.303771	 speed: 3.5 dialogs/s
557s:	 epoch: 0	 batch:1953 (4.9%) 	 training error: 2.303764	 speed: 3.5 dialogs/s
560s:	 epoch: 0	 batch:1963 (4.9%) 	 training error: 2.303758	 speed: 3.5 dialogs/s
563s:	 epoch: 0	 batch:1973 (4.9%) 	 training error: 2.303752	 speed: 3.5 dialogs/s
566s:	 epoch: 0	 batch:1983 (5.0%) 	 training error: 2.303746	 speed: 3.5 dialogs/s
570s:	 epoch: 0	 batch:1993 (5.0%) 	 training error: 2.303740	 speed: 3.5 dialogs/s
573s:	 epoch: 0	 batch:2004 (5.0%) 	 training error: 2.303734	 speed: 3.5 dialogs/s
576s:	 epoch: 0	 batch:2014 (5.0%) 	 training error: 2.303728	 speed: 3.5 dialogs/s
579s:	 epoch: 0	 batch:2024 (5.1%) 	 training error: 2.303723	 speed: 3.5 dialogs/s
582s:	 epoch: 0	 batch:2034 (5.1%) 	 training error: 2.303717	 speed: 3.5 dialogs/s
585s:	 epoch: 0	 batch:2044 (5.1%) 	 training error: 2.303711	 speed: 3.5 dialogs/s
588s:	 epoch: 0	 batch:2054 (5.1%) 	 training error: 2.303706	 speed: 3.5 dialogs/s
591s:	 epoch: 0	 batch:2064 (5.2%) 	 training error: 2.303701	 speed: 3.5 dialogs/s
595s:	 epoch: 0	 batch:2074 (5.2%) 	 training error: 2.303695	 speed: 3.5 dialogs/s
598s:	 epoch: 0	 batch:2084 (5.2%) 	 training error: 2.303690	 speed: 3.5 dialogs/s
601s:	 epoch: 0	 batch:2094 (5.2%) 	 training error: 2.303685	 speed: 3.5 dialogs/s
